Pokemon              | Last      | Current   | Change
Zeraora              | 15.34921% | 29.51222% | + 14.16301%
Kyurem               |  6.70237% | 15.51861% | +  8.81624%
Dragapult            | 39.21065% | 30.45847% | -  8.75218%
Clefable             | 34.02292% | 41.80922% | +  7.78630%
Hippowdon            |  5.19762% | 12.76451% | +  7.56689%
Bisharp              | 13.84289% | 20.12104% | +  6.27815%
Mandibuzz            | 16.31856% | 10.87192% | -  5.44664%
Toxapex              | 13.55733% | 18.51316% | +  4.95583%
Cinderace            | 15.88287% | 11.01465% | -  4.86822%
Seismitoad           | 22.31915% | 18.01378% | -  4.30537%
Aegislash            | 18.51264% | 21.99358% | +  3.48094%
Mimikyu              |  6.16527% |  9.32266% | +  3.15739%
Obstagoon            |  5.90276% |  2.78108% | -  3.12168%
Corviknight          | 30.98628% | 34.09325% | +  3.10697%
Sylveon              |  6.92586% |  3.89683% | -  3.02903%
Dugtrio              | 12.55980% |  9.63220% | -  2.92760%
Kommo-o              | 17.38098% | 19.78565% | +  2.40467%
Rotom-Mow            |  3.66558% |  1.35036% | -  2.31522%
Dracovish            | 13.44098% | 15.73837% | +  2.29739%
Rotom-Wash           |  5.58530% |  3.53713% | -  2.04817%
Terrakion            |  7.44325% |  5.62115% | -  1.82210%
Pelipper             |  6.47212% |  4.73257% | -  1.73955%
Torkoal              |  5.31127% |  3.64340% | -  1.66787%
Toxtricity           |  3.98285% |  2.38157% | -  1.60128%
Hydreigon            | 17.36672% | 18.93847% | +  1.57175%
Venusaur             |  4.50719% |  3.00264% | -  1.50455%
Rotom-Heat           | 14.57441% | 13.16201% | -  1.41240%
Excadrill            | 22.38977% | 21.12237% | -  1.26740%
Mamoswine            |  2.31367% |  3.56491% | +  1.25124%
Tyranitar            |  6.02756% |  4.80356% | -  1.22400%
Blastoise            |  1.86661% |  0.72643% | -  1.14018%
Hawlucha             |  3.56320% |  4.66401% | +  1.10081%
Chandelure           |  2.01888% |  3.04244% | +  1.02356%
Vikavolt             |  2.15147% |  1.14156% | -  1.00991%
Shuckle              |  1.85459% |  2.84667% | +  0.99208%
Ribombee             |  1.75261% |  2.74398% | +  0.99137%
Jirachi              |  5.56095% |  6.52988% | +  0.96893%
Mew                  |  7.27229% |  6.32370% | -  0.94859%
Vaporeon             |  2.18603% |  1.23985% | -  0.94618%
Celebi               |  2.43293% |  1.55629% | -  0.87664%
Snorlax              |  1.34192% |  2.21764% | +  0.87572%
Ferrothorn           | 16.99221% | 17.86543% | +  0.87322%
Slurpuff             |  0.30468% |  1.10559% | +  0.80091%
Hatterene            |  8.15229% |  7.35411% | -  0.79818%
Corsola-Galar        |  1.55821% |  0.77748% | -  0.78073%
Weezing-Galar        |  2.16662% |  1.43741% | -  0.72921%
Jellicent            |  1.42565% |  0.72645% | -  0.69920%
Gyarados             |  4.12657% |  3.44368% | -  0.68289%
Barraskewda          |  1.96993% |  1.28872% | -  0.68121%
Darmanitan           |  4.65470% |  4.03725% | -  0.61745%
Sableye              |  0.11409% |  0.72613% | +  0.61204%
Primarina            |  3.82357% |  3.25925% | -  0.56432%
Necrozma             |  2.84931% |  3.40366% | +  0.55435%
Sigilyph             |  0.97166% |  0.48210% | -  0.48956%
Keldeo               |  6.41474% |  6.87676% | +  0.46202%
Ninetales-Alola      |  2.08086% |  2.51089% | +  0.43003%
Crawdaunt            |  3.66981% |  3.24518% | -  0.42463%
Heliolisk            |  1.01502% |  0.59693% | -  0.41809%
Milotic              |  0.77082% |  0.36449% | -  0.40633%
Ninetales            |  0.72197% |  0.32139% | -  0.40058%
Sirfetch'd           |  1.05036% |  0.65053% | -  0.39983%
Charizard            |  1.07022% |  0.67692% | -  0.39330%
